date,resting_hr,min_hr,max_hr,measurements
2020-10-20,49.5,48.0,91.0,264
2020-10-21,54.3,53.0,177.6,283
2020-10-22,53.2,50.0,95.0,257
2020-10-23,53.0,51.0,180.8,327
2020-10-24,54.5,52.0,116.4,291
2020-10-25,54.7,52.2,186.0,767
2020-10-26,53.0,47.0,88.0,241
2020-10-27,55.8,52.0,108.9,223
2020-10-28,53.7,50.0,181.6,246
2020-10-29,53.5,52.0,115.1,244
2020-10-30,54.1,48.0,97.0,154
2020-10-31,57.4,55.0,99.0,121
2020-11-01,53.3,51.0,168.0,289
2020-11-02,53.3,51.0,83.0,190
2020-11-03,55.2,49.0,86.0,177
2020-11-04,51.7,50.0,79.0,111
2020-11-05,60.1,54.0,90.0,147
2020-11-06,57.2,56.0,88.0,110
2020-11-07,54.3,53.0,138.0,227
2020-11-08,60.9,57.0,110.0,102
2020-11-09,57.4,56.0,102.0,125
2020-11-10,56.1,52.0,106.0,275
2020-11-11,52.5,42.0,145.0,264
2020-11-12,53.7,52.0,77.0,197
2020-11-13,51.9,40.0,174.0,254
2020-11-14,57.7,51.0,108.0,302
2020-11-15,55.4,51.5,126.0,229
2020-11-16,54.1,44.0,79.0,158
2020-11-17,51.3,50.0,119.0,291
2020-11-18,53.0,41.0,81.0,254
2020-11-19,54.6,50.0,119.4,154
2020-11-20,52.1,45.0,127.0,279
2020-11-21,58.9,58.0,128.0,153
2020-11-22,53.7,51.1,75.0,138
2020-11-23,57.5,53.0,82.0,183
2020-11-24,53.3,48.0,91.0,270
2020-11-25,59.6,57.0,99.0,175
2020-11-26,54.2,52.0,120.7,254
2020-11-27,54.6,49.0,158.0,297
2020-11-28,53.8,53.0,138.3,247
2020-11-29,58.9,57.0,187.5,102
2020-11-30,55.3,52.0,107.2,269
2020-12-01,54.4,49.0,88.0,274
2020-12-02,52.9,52.0,83.0,199
2020-12-03,56.8,50.0,97.0,185
2020-12-04,52.6,51.0,121.0,254
2020-12-05,56.4,55.0,138.6,245
2020-12-06,53.1,51.0,122.9,336
2020-12-07,54.4,47.0,87.0,269
2020-12-08,52.3,50.0,114.4,271
2020-12-09,62.2,60.0,126.0,172
2020-12-10,61.1,58.0,106.0,175
2020-12-11,54.2,50.0,109.9,279
2020-12-12,60.3,55.0,171.0,186
2020-12-13,55.3,54.0,119.0,265
2020-12-14,55.0,53.0,86.0,266
2020-12-15,58.4,55.0,86.0,160
2020-12-16,56.3,53.0,182.0,797
2020-12-17,57.6,54.0,89.0,148
2020-12-18,53.4,51.0,95.0,268
2020-12-19,52.2,43.0,127.0,270
2020-12-20,54.4,51.0,190.0,808
2020-12-21,54.0,41.0,88.0,268
2020-12-22,55.2,53.0,100.0,152
2020-12-23,61.9,58.0,104.1,130
2020-12-24,58.5,50.0,92.0,88
2020-12-25,56.6,54.0,118.0,126
2020-12-26,68.4,53.0,189.0,767
2020-12-27,57.0,48.0,103.3,256
2020-12-28,61.3,58.0,124.0,194
2020-12-29,58.4,57.0,110.0,162
2020-12-30,53.3,52.0,126.0,263
2020-12-31,54.9,50.2,193.0,587
2021-01-01,62.6,60.0,101.0,552
2021-01-03,56.1,54.0,81.0,119
2021-01-04,60.3,58.0,118.0,216
2021-01-05,56.2,47.0,88.0,155
2021-01-06,60.2,59.0,105.0,203
2021-01-07,59.2,57.0,84.0,146
2021-01-08,72.7,60.0,188.0,639
2021-01-09,60.0,55.0,121.0,170
2021-01-10,59.3,55.0,190.0,1122
2021-01-11,57.9,56.0,78.0,147
2021-01-12,59.8,47.0,84.0,183
2021-01-13,52.8,52.0,82.0,191
2021-01-14,59.3,52.0,112.0,172
2021-01-15,59.4,45.0,94.0,149
2021-01-16,61.3,59.0,127.0,133
2021-01-17,57.9,55.0,187.0,687
2021-01-18,62.5,53.0,109.8,175
2021-01-19,57.9,55.0,82.0,180
2021-01-20,60.9,54.0,88.0,140
2021-01-21,68.8,60.0,136.0,58
2021-01-22,63.1,56.0,100.0,114
2021-01-23,58.4,55.0,191.0,936
2021-01-24,62.3,50.0,115.0,172
2021-01-25,61.2,58.0,102.0,154
2021-01-27,53.4,40.0,127.0,87
2021-01-28,55.9,54.0,80.0,102
2021-01-29,66.2,53.0,187.0,830
2021-01-30,60.0,58.0,109.4,109
2021-01-31,60.1,53.0,99.0,136
2021-02-01,58.4,57.0,88.0,193
2021-02-02,61.2,50.0,119.0,119
2021-02-04,65.1,62.0,128.0,162
2021-02-05,66.3,60.0,186.0,684
2021-02-06,60.6,55.0,110.3,162
2021-02-07,54.7,54.0,91.0,206
2021-02-08,58.5,57.0,84.0,173
2021-02-09,51.6,50.0,66.0,108
2021-02-10,61.8,58.0,101.0,166
2021-02-11,61.8,46.0,112.7,156
2021-02-12,53.5,52.0,108.0,191
2021-02-13,60.6,45.0,150.0,262
2021-02-14,62.5,61.0,113.0,198
2021-02-15,57.5,54.0,83.0,188
2021-02-16,52.8,45.0,86.0,165
2021-02-17,56.7,43.0,80.0,184
2021-02-18,58.4,48.0,84.0,178
2021-02-19,61.8,60.0,121.7,178
2021-02-20,62.4,40.0,169.0,370
2021-02-21,56.3,54.0,107.0,252
2021-02-22,65.0,50.0,191.0,661
2021-02-23,63.0,61.0,125.0,156
2021-02-24,60.3,59.0,104.0,119
2021-02-25,59.7,56.0,126.0,205
2021-02-26,55.4,44.0,140.0,179
2021-02-27,60.0,58.0,79.0,83
2021-02-28,61.2,55.0,134.0,334
2021-03-01,55.9,49.0,84.0,139
2021-03-02,58.7,54.0,87.0,156
2021-03-03,59.4,45.0,84.0,173
2021-03-05,61.3,48.0,96.0,165
2021-03-06,61.4,56.0,176.0,188
2021-03-07,60.2,58.0,143.0,59
2021-03-08,61.0,55.0,109.6,178
2021-03-09,61.3,47.0,81.0,113
2021-03-10,57.7,42.0,143.0,167
2021-03-12,56.6,54.0,107.0,164
2021-03-13,61.8,41.0,161.0,276
2021-03-14,61.2,60.0,87.0,59
2021-03-15,58.2,56.0,91.0,167
2021-03-16,56.7,49.0,100.0,180
2021-03-17,59.9,55.0,94.0,132
2021-03-18,63.7,59.0,109.0,149
2021-03-19,58.2,41.0,96.0,177
2021-03-20,58.8,41.0,171.0,268
2021-03-22,64.7,58.0,119.6,174
2021-03-23,67.0,66.0,78.0,19
2021-03-24,68.1,55.0,168.0,402
2021-03-25,54.3,43.0,91.0,137
2021-03-26,59.9,40.0,88.0,177
2021-03-27,64.0,54.0,102.0,72
2021-03-28,64.0,63.0,86.0,19
2021-03-30,66.7,63.0,142.1,152
2021-03-31,66.4,51.0,163.0,377
2021-04-01,66.0,62.0,121.3,145
2021-04-02,61.4,52.0,131.0,203
2021-04-03,61.1,44.0,165.0,338
2021-04-04,63.0,61.0,113.1,173
2021-04-05,59.9,55.0,113.0,149
2021-04-06,66.1,58.0,130.0,121
2021-04-07,57.8,49.0,84.0,143
2021-04-08,74.8,60.0,119.0,103
2021-04-09,60.2,58.0,120.0,269
2021-04-10,58.5,45.0,143.0,151
2021-04-11,60.8,47.0,100.0,127
2021-04-12,63.1,61.0,124.0,119
2021-04-13,59.8,48.0,108.0,181
2021-04-14,55.2,50.0,83.0,179
2021-04-15,54.2,47.0,106.0,185
2021-04-16,54.0,49.0,97.0,226
2021-04-17,49.6,40.0,90.0,205
2021-04-18,58.4,54.0,162.0,359
2021-04-19,55.5,50.0,104.9,156
2021-04-20,55.8,48.0,84.0,187
2021-04-21,60.0,58.0,98.0,166
2021-04-22,57.9,49.0,115.3,274
2021-04-23,56.4,54.0,87.0,181
2021-04-24,68.1,53.0,192.0,883
2021-04-25,55.8,42.0,129.0,175
2021-04-26,53.7,52.0,88.0,153
2021-04-27,51.9,45.0,87.0,197
2021-04-28,55.3,50.0,97.0,188
2021-04-29,54.3,48.0,79.0,189
2021-04-30,56.2,54.0,86.0,89
2021-05-01,62.7,45.0,155.0,423
2021-05-02,59.5,56.0,110.0,257
2021-05-03,55.7,54.0,78.0,198
2021-05-04,53.3,43.0,101.0,200
2021-05-05,57.8,42.0,117.0,200
2021-05-06,54.0,50.0,90.0,209
2021-05-07,53.9,52.0,83.0,170
2021-05-08,60.1,49.0,143.0,434
2021-05-09,55.8,53.0,94.0,149
2021-05-10,59.7,56.0,98.0,203
2021-05-11,51.5,43.0,83.0,205
2021-05-12,54.8,48.0,93.0,190
2021-05-13,60.8,45.0,120.0,206
2021-05-14,65.4,60.0,126.3,235
