start_time,km,split_time_sec,split_pace_min,avg_speed_ms,date
2020-05-01 18:57:50,1,714.0,11.9,1.4,2020-05-01
2020-05-01 18:57:50,2,704.0,11.73,1.42,2020-05-01
2020-05-01 18:57:50,3,702.0,11.7,1.43,2020-05-01
2020-05-01 18:57:50,4,705.0,11.75,1.42,2020-05-01
2020-05-02 18:05:01,1,689.0,11.48,1.45,2020-05-02
2020-05-02 18:05:01,2,703.0,11.72,1.43,2020-05-02
2020-05-02 18:05:01,3,747.0,12.45,1.34,2020-05-02
2020-05-02 18:05:01,4,730.0,12.17,1.37,2020-05-02
2020-05-03 17:58:14,1,766.0,12.77,1.31,2020-05-03
2020-05-05 16:42:25,1,749.0,12.48,1.34,2020-05-05
2020-05-05 16:42:25,2,723.0,12.05,1.39,2020-05-05
2020-05-05 16:42:25,3,740.0,12.33,1.35,2020-05-05
2020-05-05 16:42:25,4,750.0,12.5,1.34,2020-05-05
2020-05-05 16:42:25,5,1154.0,19.23,0.93,2020-05-05
2020-05-05 16:42:25,6,715.0,11.92,1.4,2020-05-05
2020-05-09 11:43:22,1,723.0,12.05,1.38,2020-05-09
2020-05-09 11:43:22,2,757.0,12.62,1.32,2020-05-09
2020-05-09 11:43:22,3,717.0,11.95,1.39,2020-05-09
2020-05-11 15:06:44,1,750.0,12.5,1.34,2020-05-11
2020-05-11 15:06:44,2,713.0,11.88,1.41,2020-05-11
2020-05-11 15:06:44,3,753.0,12.55,1.33,2020-05-11
2020-05-11 15:06:44,4,741.0,12.35,1.35,2020-05-11
2020-05-11 15:06:44,5,711.0,11.85,1.41,2020-05-11
2020-05-11 15:06:44,6,783.0,13.05,1.28,2020-05-11
2020-05-11 15:06:44,7,813.0,13.55,1.23,2020-05-11
2020-05-11 15:06:44,8,831.0,13.85,1.21,2020-05-11
2020-05-16 09:12:02,1,693.0,11.55,1.44,2020-05-16
2020-05-17 16:03:14,1,708.0,11.8,1.41,2020-05-17
2020-05-17 16:03:14,2,771.0,12.85,1.3,2020-05-17
2020-05-20 16:02:39,1,812.0,13.53,1.25,2020-05-20
2020-05-20 16:02:39,2,694.0,11.57,1.44,2020-05-20
2020-05-20 16:02:39,3,734.0,12.23,1.36,2020-05-20
2020-05-20 16:02:39,4,735.0,12.25,1.36,2020-05-20
2020-05-20 16:02:39,5,740.0,12.33,1.35,2020-05-20
2020-05-21 13:52:19,1,676.0,11.27,1.48,2020-05-21
2020-05-21 13:52:19,2,711.0,11.85,1.41,2020-05-21
2020-05-21 13:52:19,3,677.0,11.28,1.48,2020-05-21
2020-05-21 15:45:16,1,737.0,12.28,1.36,2020-05-21
2020-05-21 15:45:16,2,800.0,13.33,1.25,2020-05-21
2020-05-21 15:45:16,3,729.0,12.15,1.37,2020-05-21
2020-05-22 16:46:25,1,688.0,11.47,1.46,2020-05-22
2020-05-22 16:46:25,2,772.0,12.87,1.3,2020-05-22
2020-05-22 16:46:25,3,699.0,11.65,1.43,2020-05-22
2020-05-22 16:46:25,4,699.0,11.65,1.43,2020-05-22
2020-05-23 08:29:12,1,675.0,11.25,1.48,2020-05-23
2020-05-23 08:29:12,2,695.0,11.58,1.44,2020-05-23
2020-05-23 09:35:51,1,653.0,10.88,1.54,2020-05-23
2020-05-23 09:35:51,2,676.0,11.27,1.48,2020-05-23
2020-05-28 11:40:11,1,710.0,11.83,1.41,2020-05-28
2020-05-28 11:40:11,2,756.0,12.6,1.32,2020-05-28
2020-05-28 11:40:11,3,799.0,13.32,1.25,2020-05-28
2020-05-28 11:40:11,4,733.0,12.22,1.37,2020-05-28
2020-05-28 14:20:00,1,767.0,12.78,1.31,2020-05-28
2020-05-28 14:20:00,2,795.0,13.25,1.26,2020-05-28
2020-05-28 14:20:00,3,853.0,14.22,1.17,2020-05-28
2020-05-29 20:54:28,1,796.0,13.27,1.26,2020-05-29
2020-05-30 11:12:14,1,767.0,12.78,1.3,2020-05-30
2020-05-30 11:12:14,2,808.0,13.47,1.24,2020-05-30
2020-05-30 11:12:14,3,511.0,8.52,1.98,2020-05-30
2020-05-30 11:12:14,4,127.0,2.12,7.85,2020-05-30
2020-05-30 09:01:15,1,718.0,11.97,1.4,2020-05-30
2020-05-30 10:03:41,1,726.0,12.1,1.38,2020-05-30
2020-05-30 10:03:41,2,706.0,11.77,1.42,2020-05-30
2020-05-31 17:28:15,1,700.0,11.67,1.43,2020-05-31
2020-05-31 17:28:15,2,657.0,10.95,1.53,2020-05-31
2020-05-31 17:28:15,3,689.0,11.48,1.45,2020-05-31
2020-05-31 17:28:15,4,703.0,11.72,1.43,2020-05-31
2020-05-31 17:28:15,5,883.0,14.72,1.26,2020-05-31
2020-05-31 17:28:15,6,693.0,11.55,1.45,2020-05-31
2020-05-31 17:28:15,7,684.0,11.4,1.46,2020-05-31
2020-05-31 17:28:15,8,707.0,11.78,1.42,2020-05-31
2020-05-31 17:28:15,9,704.0,11.73,1.42,2020-05-31
2020-05-31 17:28:15,10,758.0,12.63,1.32,2020-05-31
2020-06-04 11:17:54,1,602.0,10.03,1.67,2020-06-04
2020-06-04 11:17:54,2,613.0,10.22,1.63,2020-06-04
2020-06-04 11:17:54,3,810.0,13.5,1.23,2020-06-04
2020-06-04 11:17:54,4,713.0,11.88,1.41,2020-06-04
2020-06-04 14:00:09,1,768.0,12.8,1.31,2020-06-04
2020-06-04 14:00:09,2,731.0,12.18,1.37,2020-06-04
2020-06-04 14:00:09,3,724.0,12.07,1.38,2020-06-04
