date,steps
2020-06-28,5080
2020-06-29,2293
2020-06-30,3337
2020-07-01,22432
2020-07-02,15217
2020-07-03,29436
2020-07-04,41637
2020-07-05,31254
2020-07-06,2580
2020-07-07,6598
2020-07-08,10478
2020-07-09,25825
2020-07-10,27453
2020-07-11,28192
2020-07-12,26162
2020-07-13,10046
2020-07-14,11519
2020-07-15,10814
2020-07-16,7497
2020-07-17,7291
2020-07-18,49158
2020-07-19,11983
2020-07-20,39350
2020-07-21,9759
2020-07-22,2770
2020-07-23,8269
2020-07-24,9383
2020-07-25,20135
2020-07-26,2262
2020-07-27,9967
2020-07-28,9717
2020-07-29,19039
2020-07-30,8726
2020-07-31,8507
2020-08-01,10905
2020-08-02,21348
2020-08-03,18586
2020-08-04,5713
2020-08-05,10024
2020-08-06,23020
2020-08-07,6732
2020-08-08,27262
2020-08-09,16491
2020-08-10,7280
2020-08-11,2722
2020-08-12,3061
2020-08-13,10024
2020-08-14,5999
2020-08-15,8778
2020-08-16,9870
2020-08-17,9457
2020-08-18,3730
2020-08-19,9238
2020-08-20,8281
2020-08-21,27948
2020-08-22,26930
2020-08-23,7637
2020-08-24,8993
2020-08-25,9969
2020-08-26,9908
2020-08-27,8712
2020-08-28,7881
2020-08-29,8026
2020-08-30,2980
2020-08-31,13678
2020-09-01,21065
2020-09-02,15821
2020-09-03,12574
2020-09-04,9482
2020-09-05,11308
2020-09-06,11146
2020-09-07,25287
2020-09-08,16533
2020-09-09,19366
2020-09-10,36100
2020-09-11,10625
2020-09-12,2134
2020-09-13,27991
2020-09-14,9251
2020-09-15,9039
2020-09-16,3584
2020-09-17,6815
2020-09-18,9029
2020-09-19,8731
2020-09-20,7969
2020-09-21,26705
2020-09-22,5008
2020-09-23,9186
2020-09-24,4039
2020-09-25,5281
2020-09-26,7840
2020-09-27,7064
2020-09-28,5724
2020-09-29,7682
2020-09-30,9559
2020-10-01,2456
2020-10-02,6848
2020-10-03,5196
2020-10-04,7092
2020-10-05,16012
2020-10-06,8543
2020-10-07,4427
2020-10-08,5094
2020-10-09,5981
2020-10-10,10143
2020-10-11,10877
2020-10-12,1593
2020-10-13,7455
2020-10-14,9211
2020-10-15,948
2020-10-16,9689
2020-10-17,2927
2020-10-18,7694
2020-10-19,1676
2020-10-20,3243
2020-10-21,9322
2020-10-22,1993
2020-10-23,12392
2020-10-24,6156
2020-10-25,29128
